reference,degraded,fvnsim0,fvnsim1,fvnsim2,fvnsim3,fvnsim4,fvnsim5,fvnsim6,fvnsim7,fvnsim8,fvnsim9,fvnsim10,fvnsim11,fvnsim12,fvnsim13,fvnsim14,fvnsim15,fvnsim16,fvnsim17,fvnsim18,fvnsim19,fvnsim20,fvnsim21,fvnsim22,fvnsim23,fvnsim24,fvnsim25,fvnsim26,fvnsim27,fvnsim28,fvnsim29,fvnsim30,fvnsim31,moslqs
C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\chop\C_16_CHOP_FA.wav,C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\chop\ref\R_16_CHOP_FA.wav,0.948873416,0.967275399,0.983205635,0.984874942,0.976901811,0.979478788,0.985740662,0.987786044,0.983839064,0.979163627,0.971923651,0.967033045,0.977758424,0.981960279,0.985447805,0.983553997,0.981537258,0.988141719,0.988539975,0.987345587,0.984130038,0.986131168,0.98629823,0.98419957,0.982824538,0.985273229,0.97624097,0.974806244,0.965119182,0.946915235,0.937048401,0.935391008,2.8
C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\clip\C_11_CLIP_MK.wav,C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\clip\ref\R_11_CLIP_MK.wav,0.976053664,0.992912659,0.996343808,0.996417097,0.99757843,0.999693265,0.999869807,0.999846274,0.999626653,0.998620743,0.998554421,0.999448875,0.999464617,0.999279657,0.999384912,0.999158377,0.998754495,0.998809185,0.998859222,0.998864852,0.998785287,0.997389503,0.992486963,0.734833611,0.629023483,0.589828497,0.574834806,0.575166657,0.642464492,0.686817672,0.695160162,0.74250302,4.3
C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\noise\C_23_NOISE_MK.wav,C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\noise\ref\R_23_NOISE_MK.wav,0.959877843,0.985642692,0.993026423,0.995334893,0.997668972,0.999207278,0.999550046,0.997612161,0.997443681,0.996770568,0.989941062,0.988767505,0.982873443,0.989856139,0.992457806,0.993365291,0.985819045,0.979735188,0.96906481,0.945875874,0.902997579,0.850372861,0.798905189,0.526748651,0.512511983,0.597880045,0.58645491,0.587759974,0.635347423,0.680297771,0.683066006,0.71412316,2.3
C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\chop\C_06_CHOP_FG.wav,C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\chop\ref\R_06_CHOP_FG.wav,0.983856905,0.992696632,0.998769655,0.999508348,0.99912827,0.99953279,0.999583507,0.999870847,0.99986472,0.999913538,0.999836074,0.999807465,0.999737713,0.999401862,0.999707038,0.999953151,0.999960615,0.999927695,0.99995631,0.999907564,0.999987127,0.999989046,0.999932576,0.999348622,0.999498694,0.998774937,0.99751744,0.999404426,0.998656103,0.997487148,0.99687898,0.997151005,3.6
C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\compspkr\C_01_COMPSPKR_FG.wav,C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\compspkr\ref\R_01_COMPSPKR_FG.wav,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.5
C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\echo\C_20_ECHO_FA.wav,C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\echo\ref\R_20_ECHO_FA.wav,0.507123786,0.68524971,0.693468965,0.513377724,0.546598781,0.590876821,0.544180326,0.550955983,0.537415999,0.565095593,0.608180646,0.555563353,0.518913011,0.603372209,0.665692873,0.69503499,0.695798096,0.707438024,0.58495773,0.518820659,0.416813675,0.418176003,0.456557695,0.406165216,0.398213943,0.593827849,0.628238449,0.752210264,0.746828101,0.595374552,0.571703855,0.573504384,1.1
C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\chop\C_24_CHOP_FA.wav,C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\chop\ref\R_24_CHOP_FA.wav,0.855590744,0.949247275,0.962977938,0.965592718,0.963311171,0.972513622,0.978414183,0.979158762,0.974206678,0.950774091,0.941104603,0.905999092,0.877913316,0.870548189,0.823300967,0.781991854,0.81124418,0.816413325,0.742588789,0.730214496,0.653314871,0.613556214,0.645437432,0.419209473,0.530703197,0.626018417,0.599555732,0.535560265,0.564633947,0.598044152,0.598719095,0.630884831,1.6
C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\echo\C_02_ECHO_FG.wav,C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\echo\ref\R_02_ECHO_FG.wav,0.999012556,0.999417719,0.999629839,0.999761725,0.999759234,0.999769818,0.999580482,0.99922603,0.996066955,0.99841455,0.999711519,0.999740883,0.999810248,0.999008612,0.999901293,0.999910856,0.999861594,0.999872796,0.999906309,0.999923446,0.999954857,0.999936321,0.999881942,0.999723221,0.999800928,0.999739697,0.999723449,0.999800491,0.999595179,0.998255952,0.998857213,0.997905107,4.8
C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\echo\C_15_ECHO_FG.wav,C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\echo\ref\R_15_ECHO_FG.wav,0.846182921,0.908649231,0.937036112,0.927461111,0.915926051,0.916323444,0.90592855,0.892343044,0.894618717,0.90245343,0.871464439,0.871280544,0.860594773,0.892300891,0.896216321,0.910867387,0.910792363,0.900837044,0.907090945,0.901740238,0.929919734,0.9394752,0.908653568,0.890190694,0.889230953,0.894835917,0.896695751,0.912558951,0.90882834,0.855309138,0.866750118,0.868095212,2
C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\noise\C_09_NOISE_MK.wav,C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\noise\ref\R_09_NOISE_MK.wav,0.636376579,0.551085283,0.548087603,0.549899637,0.545128722,0.546730339,0.550001527,0.554473244,0.553290546,0.561633391,0.567631107,0.569407533,0.570478849,0.573642614,0.573579325,0.572212942,0.572646339,0.581989012,0.579733991,0.571662597,0.584509513,0.623686425,0.686319685,0.711019852,0.743525342,0.772970977,0.829470404,0.888342575,0.959335217,0.99866452,0.998903607,0.998450143,3.4
